City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
zabaykalsk,49.6333,117.3167,51.06,19,100,9.57,RU,4/25/2021 14:15
castro,-24.7911,-50.0119,69.01,62,99,4.92,BR,4/25/2021 14:15
kapaa,22.0752,-159.319,73.4,78,20,12.66,US,4/25/2021 14:10
rikitea,-23.1203,-134.9692,77.14,76,60,6.82,PF,4/25/2021 14:15
klaksvik,62.2266,-6.589,50,71,100,12.66,FO,4/25/2021 14:15
avarua,-21.2078,-159.775,75.2,88,94,12.66,CK,4/25/2021 14:15
constitucion,-35.3333,-72.4167,61.57,56,0,5.06,CL,4/25/2021 14:15
onega,63.9061,38.1404,52.2,56,74,9.84,RU,4/25/2021 14:15
kysyl-syr,63.8986,122.7617,32.54,99,100,3.98,RU,4/25/2021 14:12
salalah,17.0151,54.0924,86,70,40,11.5,OM,4/25/2021 14:15
pevek,69.7008,170.3133,19.18,95,100,11.56,RU,4/25/2021 14:15
takoradi,4.8845,-1.7554,86.25,66,83,11.36,GH,4/25/2021 14:15
butaritari,3.0707,172.7902,81.59,78,40,11.48,KI,4/25/2021 14:15
port alfred,-33.5906,26.891,76.66,56,97,16.11,ZA,4/25/2021 14:15
saskylakh,71.9167,114.0833,14.76,90,100,10.11,RU,4/25/2021 14:15
along,28.1667,94.7667,73.33,46,3,2.15,IN,4/25/2021 14:15
mataura,-46.1927,168.8643,42.01,82,25,8.99,NZ,4/25/2021 14:15
vao,-22.6667,167.4833,74.43,71,100,1.97,NC,4/25/2021 14:15
beloha,-25.1667,45.05,81.57,55,80,10.09,MG,4/25/2021 14:15
smirnykh,49.75,142.8333,26.78,80,97,2.91,RU,4/25/2021 14:15
lima,-12.0432,-77.0282,64.99,100,90,5.75,PE,4/25/2021 14:15
yeppoon,-23.1333,150.7333,66.2,72,6,6.91,AU,4/25/2021 14:15
bredasdorp,-34.5322,20.0403,62.6,77,100,2.3,ZA,4/25/2021 14:15
busselton,-33.65,115.3333,60.01,90,2,4.07,AU,4/25/2021 14:15
barrow,71.2906,-156.7887,10.4,85,20,13.8,US,4/25/2021 14:15
rock springs,41.5875,-109.2029,41,52,75,3.44,US,4/25/2021 14:13
atuona,-9.8,-139.0333,79.48,78,72,20.07,PF,4/25/2021 14:15
pacific grove,36.6177,-121.9166,52,89,100,7.67,US,4/25/2021 14:15
murray bridge,-35.1167,139.2667,54,98,0,2.44,AU,4/25/2021 14:11
entre rios,-11.9419,-38.0844,88.03,49,28,4.63,BR,4/25/2021 14:15
ancud,-41.8697,-73.8203,54,94,90,1.48,CL,4/25/2021 14:15
macia,-25.0269,33.0989,78.3,53,0,7.52,MZ,4/25/2021 14:15
khatanga,71.9667,102.5,12.81,87,100,23.69,RU,4/25/2021 14:15
goderich,43.7501,-81.7165,37.4,75,100,17.27,CA,4/25/2021 14:15
ilulissat,69.2167,-51.1,48.2,43,40,26.46,GL,4/25/2021 14:15
new norfolk,-42.7826,147.0587,57,80,100,3,AU,4/25/2021 14:15
gold coast,-28,153.4333,62.01,88,40,3.44,AU,4/25/2021 14:15
cacu,-18.5567,-51.1308,88.61,22,95,3.22,BR,4/25/2021 14:15
caravelas,-17.7125,-39.2481,85.41,57,7,7.47,BR,4/25/2021 14:15
margate,51.3813,1.3862,51.01,53,12,4,GB,4/25/2021 14:11
virginia beach,36.8529,-75.978,59,67,90,17.27,US,4/25/2021 14:15
fort nelson,58.8053,-122.7002,26.6,68,40,5.75,CA,4/25/2021 14:15
sao filipe,14.8961,-24.4956,72.93,73,85,10.6,CV,4/25/2021 14:15
bonthe,7.5264,-12.505,91.92,51,94,10.89,SL,4/25/2021 14:15
tasiilaq,65.6145,-37.6368,39.2,81,75,10.36,GL,4/25/2021 14:15
ganzhou,28.8184,115.4327,61.12,92,100,4.61,CN,4/25/2021 14:15
sorland,67.667,12.6934,39.2,70,75,6.91,NO,4/25/2021 14:15
porto novo,6.4965,2.6036,89.6,70,40,12.66,BJ,4/25/2021 14:15
lucea,18.451,-78.1736,82.4,65,20,6.91,JM,4/25/2021 14:15
chokurdakh,70.6333,147.9167,14.32,93,100,11.41,RU,4/25/2021 14:15
portland,45.5234,-122.6762,46.99,87,100,2.37,US,4/25/2021 14:05
leningradskiy,69.3833,178.4167,13.82,89,16,5.37,RU,4/25/2021 14:15
saint-philippe,-21.3585,55.7679,78.8,73,75,25.32,RE,4/25/2021 14:15
vaini,-21.2,-175.2,73.4,100,75,1.14,TO,4/25/2021 14:15
kodiak,57.79,-152.4072,39.2,81,90,10.36,US,4/25/2021 14:15
palembang,-2.9167,104.7458,84.2,84,40,6.91,ID,4/25/2021 14:15
punta arenas,-53.15,-70.9167,46.4,76,40,10.36,CL,4/25/2021 14:15
port-cartier,50.0334,-66.8654,46.99,56,5,3.44,CA,4/25/2021 14:12
bathsheba,13.2167,-59.5167,82.4,57,75,20.71,BB,4/25/2021 14:10
bandarbeyla,9.4942,50.8122,84.42,73,33,12.75,SO,4/25/2021 14:15
port lincoln,-34.7333,135.8667,60.1,68,83,8.46,AU,4/25/2021 14:15
narsaq,60.9167,-46.05,51.8,30,75,31.07,GL,4/25/2021 14:11
sabanalarga,10.6296,-74.9206,84.2,79,20,2.3,CO,4/25/2021 14:15
jizan,17.3333,42.6667,91.4,55,20,11.5,SA,4/25/2021 14:15
anjangaon,21.1631,77.3094,98.89,12,99,3,IN,4/25/2021 14:15
carutapera,-1.195,-46.02,83.01,79,100,6.4,BR,4/25/2021 14:15
rawson,-43.3002,-65.1023,60.4,57,14,19.44,AR,4/25/2021 14:15
chapais,49.7834,-74.8492,39.2,65,40,9.22,CA,4/25/2021 14:15
aksarka,66.5606,67.7975,34.12,94,100,9.95,RU,4/25/2021 14:15
jacareacanga,-6.2222,-57.7528,88.16,59,63,3.15,BR,4/25/2021 14:15
beringovskiy,63.05,179.3167,31.17,87,100,2.93,RU,4/25/2021 14:15
puerto ayora,-0.7393,-90.3518,78.8,83,0,11.5,EC,4/25/2021 14:15
geraldton,-28.7667,114.6,66.2,82,1,5.75,AU,4/25/2021 14:15
darhan,49.4867,105.9228,36.09,97,100,9.13,MN,4/25/2021 14:15
qingdao,36.0986,120.3719,53.6,71,0,4.47,CN,4/25/2021 14:13
rocha,-34.4833,-54.3333,66.51,53,18,12.8,UY,4/25/2021 14:11
libreville,0.3925,9.4537,87.8,66,20,8.05,GA,4/25/2021 14:15
san jose,37.3394,-121.895,53.6,66,75,3.44,US,4/25/2021 14:12
iqaluit,63.7506,-68.5145,33.8,86,90,5.75,CA,4/25/2021 14:15
ahipara,-35.1667,173.1667,57.6,74,64,6.31,NZ,4/25/2021 14:15
souillac,-20.5167,57.5167,78.8,78,75,13.8,MU,4/25/2021 14:15
hilo,19.7297,-155.09,69.8,78,20,5.75,US,4/25/2021 14:15
tiksi,71.6872,128.8694,23.18,96,100,5.44,RU,4/25/2021 14:15
joshimath,30.5667,79.5667,52.97,58,1,8.7,IN,4/25/2021 14:15
kingstown,13.1587,-61.2248,80.6,74,75,13.8,VC,4/25/2021 14:15
hambantota,6.1241,81.1185,82.4,94,20,3.44,LK,4/25/2021 14:15
ramsar,36.9226,50.6426,66.2,82,40,9.22,IR,4/25/2021 14:15
tuatapere,-46.1333,167.6833,42.01,82,66,8.99,NZ,4/25/2021 14:15
shubarkuduk,49.1447,56.4872,51.1,81,100,8.81,KZ,4/25/2021 14:15
thompson,55.7435,-97.8558,26.6,59,75,9.22,CA,4/25/2021 14:15
myaundzha,63.0494,147.1858,-9.29,96,7,2.77,RU,4/25/2021 14:15
cape town,-33.9258,18.4232,72,64,0,14.97,ZA,4/25/2021 14:15
arraial do cabo,-22.9661,-42.0278,78.8,78,20,2.3,BR,4/25/2021 14:15
smoky lake,54.1169,-112.4686,30.2,54,44,2.3,CA,4/25/2021 14:15
east london,-33.0153,27.9116,71.6,68,0,6.91,ZA,4/25/2021 14:15
naze,28.3667,129.4833,64.87,70,100,10.51,JP,4/25/2021 14:15
yellowknife,62.456,-114.3525,1.99,66,75,3.44,CA,4/25/2021 14:15
manggar,-2.8833,108.2667,81.66,74,98,4.65,ID,4/25/2021 14:15
la ronge,55.1001,-105.2842,28.4,74,100,6.91,CA,4/25/2021 14:15
dzerzhinsk,56.2389,43.4631,37.4,93,90,17.9,RU,4/25/2021 14:15
presidencia roque saenz pena,-26.7852,-60.4388,70,68,6,5.01,AR,4/25/2021 14:15
hamilton,39.1834,-84.5333,50,93,90,5.75,US,4/25/2021 14:15
port elizabeth,-33.918,25.5701,69.8,64,0,4.61,ZA,4/25/2021 14:15
labuhan,-6.8844,112.2051,79.83,80,42,9.44,ID,4/25/2021 14:15
airai,-8.9266,125.4092,56.79,87,44,2.37,TL,4/25/2021 14:15
victoria,22.2855,114.1577,75,92,100,20.51,HK,4/25/2021 14:11
riyadh,24.6877,46.7219,96.8,9,0,5.75,SA,4/25/2021 14:15
talcahuano,-36.7167,-73.1167,55.4,76,0,6.91,CL,4/25/2021 14:15
zeya,53.75,127.2667,38.37,73,100,3.58,RU,4/25/2021 14:15
longyearbyen,78.2186,15.6401,23,80,40,12.66,SJ,4/25/2021 14:15
kismayo,-0.3582,42.5454,85.15,66,96,9.82,SO,4/25/2021 14:15
luderitz,-26.6481,15.1594,70.05,61,85,7.4,NA,4/25/2021 14:15
pokhara,28.2333,83.9833,75.52,18,62,6.78,NP,4/25/2021 14:15
cabo san lucas,22.8909,-109.9124,59,33,40,5.75,MX,4/25/2021 14:11
sorochinsk,52.4338,53.1583,50.13,41,12,15.95,RU,4/25/2021 14:15
pangody,65.85,74.4859,32.76,92,100,7.9,RU,4/25/2021 14:15
saint-georges,12.0564,-61.7485,84.2,61,20,23.02,GD,4/25/2021 14:16
batemans bay,-35.7167,150.1833,54,86,26,1.99,AU,4/25/2021 14:16
varhaug,58.6147,5.6457,48,51,4,3,NO,4/25/2021 14:16
pisco,-13.7,-76.2167,66.2,94,75,6.02,PE,4/25/2021 14:16
pointe michel,15.25,-61.3833,86,54,75,8.05,DM,4/25/2021 14:16
tuktoyaktuk,69.4541,-133.0374,10.4,85,75,10.36,CA,4/25/2021 14:16
elda,38.4778,-0.7916,72,55,100,4,ES,4/25/2021 14:16
dingle,10.9995,122.6711,77.99,82,12,2.89,PH,4/25/2021 14:16
komsomolets,53.7453,62.0708,57.78,47,54,12.71,KZ,4/25/2021 14:16
martapura,-3.4167,114.85,80.6,83,87,1.14,ID,4/25/2021 14:16
jamestown,42.097,-79.2353,48,93,90,8.05,US,4/25/2021 14:15
bambous virieux,-20.3428,57.7575,78.8,78,75,13.8,MU,4/25/2021 14:16
kingman,35.1894,-114.053,60.8,29,1,6.02,US,4/25/2021 14:16
zyryanovsk,49.7386,84.2719,41.22,53,18,2.26,KZ,4/25/2021 14:16
kirakira,-10.4544,161.9205,79.25,85,87,3.42,SB,4/25/2021 14:16
ushtobe,45.2514,77.9838,58.42,27,100,5.95,KZ,4/25/2021 14:16
valverde del camino,37.5751,-6.7543,66.99,60,81,11.99,ES,4/25/2021 14:16
sabanagrande,10.7912,-74.7606,84.2,79,20,2.3,CO,4/25/2021 14:16
tezu,27.9167,96.1667,79.41,22,5,5.12,IN,4/25/2021 14:16
flinders,-34.5833,150.8552,55.99,82,65,1.01,AU,4/25/2021 14:16
hasaki,35.7333,140.8333,55.4,58,75,17.27,JP,4/25/2021 14:16
nouakchott,18.0858,-15.9785,84.2,42,0,14.97,MR,4/25/2021 14:16
hobart,-42.8794,147.3294,57.2,62,40,14.97,AU,4/25/2021 14:15
kandrian,-6.2167,149.55,77.25,87,95,4.21,PG,4/25/2021 14:16
baturaja,-4.1333,104.1667,74.48,93,100,2.8,ID,4/25/2021 14:16
goulburn,-34.75,149.7167,42.01,92,0,4.09,AU,4/25/2021 14:16
avera,33.194,-82.5271,64.4,82,40,11.5,US,4/25/2021 14:16
ugoofaaru,5.6667,73,84.92,69,15,6.24,MV,4/25/2021 14:16
provideniya,64.3833,-173.3,32.52,96,100,1.28,RU,4/25/2021 14:16
bada,51.392,109.8717,40.39,95,100,4.92,RU,4/25/2021 14:16
pascagoula,30.3658,-88.5561,64.99,68,1,13.8,US,4/25/2021 14:16
great yarmouth,52.6083,1.7305,51.01,57,75,13.8,GB,4/25/2021 14:16
gosainganj,26.5833,82.3833,89.01,8,100,6.93,IN,4/25/2021 14:16
nouadhibou,20.931,-17.0347,75.2,53,0,19.57,MR,4/25/2021 14:16
carnarvon,-24.8667,113.6333,68,83,2,4.61,AU,4/25/2021 14:16
svetlyy,54.675,20.1347,42.01,75,40,13.42,RU,4/25/2021 14:16
bengkulu,-3.8004,102.2655,79.23,82,100,5.88,ID,4/25/2021 14:16
letterkenny,54.95,-7.7333,59,63,0,9.22,IE,4/25/2021 14:16
lebu,-37.6167,-73.65,57.9,76,0,11.27,CL,4/25/2021 14:16
merauke,-8.4667,140.3333,78.98,83,83,5.37,ID,4/25/2021 14:16
port macquarie,-31.4333,152.9167,55.99,99,26,5.86,AU,4/25/2021 14:11
knysna,-34.0363,23.0471,77,50,0,2.3,ZA,4/25/2021 14:16
faya,18.3851,42.4509,73.4,60,75,11.5,SA,4/25/2021 14:11
acarau,-2.8856,-40.12,84.15,69,88,11.74,BR,4/25/2021 14:16
waddan,29.1614,16.139,80.15,21,0,10.8,LY,4/25/2021 14:16
palatka,29.6486,-81.6376,72,76,34,1.01,US,4/25/2021 14:16
rodbyhavn,54.6544,11.352,46.99,43,2,10,DK,4/25/2021 14:16
madera,37.1666,-119.8343,51.01,82,100,1.01,US,4/25/2021 14:16
dikson,73.5069,80.5464,18.09,88,100,10.51,RU,4/25/2021 14:16
ostrovnoy,68.0531,39.5131,35.65,93,100,16.96,RU,4/25/2021 14:16
ayan,56.45,138.1667,23.13,84,22,5.61,RU,4/25/2021 14:16
torbay,47.6666,-52.7314,50,49,20,21.85,CA,4/25/2021 14:16
aguimes,27.9054,-15.4461,73.4,56,40,18.41,ES,4/25/2021 14:16
prince rupert,54.3161,-130.3201,48.2,65,1,9.22,CA,4/25/2021 14:11
chimbote,-9.0853,-78.5783,68.31,83,35,7.16,PE,4/25/2021 14:13
san jeronimo,-11.9472,-75.2829,54.27,65,76,0.96,PE,4/25/2021 14:16
saint anthony,45.0205,-93.218,39.99,60,90,8.05,US,4/25/2021 14:16
heidelberg,-26.5048,28.3592,77,30,0,9.53,ZA,4/25/2021 14:16
minot,48.2325,-101.2963,42.8,52,90,6.91,US,4/25/2021 14:16
cookeville,36.1628,-85.5016,52,87,90,3.44,US,4/25/2021 14:02
mashhad,36.297,59.6062,78.8,27,40,9.22,IR,4/25/2021 14:16
formosa,-26.1775,-58.1781,69.49,75,69,8.19,AR,4/25/2021 14:16
afrikanda,67.4429,32.7828,39,100,100,20.94,RU,4/25/2021 14:16
san patricio,28.017,-97.5169,73.4,68,1,6.91,US,4/25/2021 14:16
fort-shevchenko,44.5086,50.263,60.24,59,100,17.67,KZ,4/25/2021 14:16
lompoc,34.6391,-120.4579,48.2,87,100,5.75,US,4/25/2021 14:11
richards bay,-28.783,32.0377,74.55,67,0,7.05,ZA,4/25/2021 14:16
juneau,58.3019,-134.4197,39,80,1,3.44,US,4/25/2021 14:15
unity,52.4501,-109.1682,35.47,38,100,5.08,CA,4/25/2021 14:16
phan thiet,10.9333,108.1,81.1,83,5,3.6,VN,4/25/2021 14:11
pingliang,35.5392,106.6861,47.3,86,74,3.6,CN,4/25/2021 14:16
kruisfontein,-34.0033,24.7314,81.37,36,100,3.42,ZA,4/25/2021 14:16
nardaran,40.5561,50.0056,62.6,55,0,6.91,AZ,4/25/2021 14:16
kawalu,-7.3817,108.2082,73.2,94,95,1.14,ID,4/25/2021 14:16
kavieng,-2.5744,150.7967,82.26,77,94,6.58,PG,4/25/2021 14:16
maroon town,18.3446,-77.7954,82.4,65,20,6.91,JM,4/25/2021 14:16
chifeng,42.2683,118.9636,55.78,17,100,14.34,CN,4/25/2021 14:16
roald,62.5833,6.1333,42.8,56,75,6.91,NO,4/25/2021 14:16
goundam,16.4145,-3.6708,107.83,6,6,7.83,ML,4/25/2021 14:16
mount isa,-20.7333,139.5,77,33,71,8.05,AU,4/25/2021 14:16
port arthur,38.8,121.2667,53.6,58,0,4.47,CN,4/25/2021 14:16
cidreira,-30.1811,-50.2056,70.32,78,79,14.63,BR,4/25/2021 14:16
meulaboh,4.1363,96.1285,80.04,76,98,0.51,ID,4/25/2021 14:16
nikolayevka,53.1257,47.2041,46.2,51,56,17.87,RU,4/25/2021 14:16
salinopolis,-0.6136,-47.3561,81.9,80,99,8.05,BR,4/25/2021 14:16
cooma,-36.2333,149.1333,35.6,100,8,5.75,AU,4/25/2021 14:16
kununurra,-15.7667,128.7333,64.4,77,39,1.14,AU,4/25/2021 14:16
cahul,45.9075,28.1944,61.61,40,82,13.33,MD,4/25/2021 14:16
taitung,22.7583,121.1444,69.8,88,75,6.91,TW,4/25/2021 14:16
robertsport,6.7533,-11.3686,83.43,74,100,7.02,LR,4/25/2021 14:11
bubaque,11.2833,-15.8333,78.55,51,28,6.62,GW,4/25/2021 14:16
abha,18.2164,42.5053,73.4,60,75,11.5,SA,4/25/2021 14:16
oranjemund,-28.55,16.4333,67.14,67,100,10.83,NA,4/25/2021 14:16
jumla,29.2747,82.1838,52.56,38,65,2.93,NP,4/25/2021 14:16
walvis bay,-22.9575,14.5053,78.8,44,8,6.91,NA,4/25/2021 14:11
yongan,39.6957,113.6871,51.37,71,95,6.67,CN,4/25/2021 14:16
la rioja,42.25,-2.5,60.8,59,0,11.5,ES,4/25/2021 14:16
paamiut,61.994,-49.6678,37.71,84,98,13.6,GL,4/25/2021 14:16
bardiyah,31.7561,25.0865,67.19,66,0,17.81,LY,4/25/2021 14:16
sao joao da barra,-21.6403,-41.0511,82.4,61,20,2.3,BR,4/25/2021 14:16
canutama,-6.5339,-64.3831,81.5,86,60,0.74,BR,4/25/2021 14:16
pali,25.7667,73.3333,92.91,9,0,5.53,IN,4/25/2021 14:11
yaan,7.3833,8.5667,91.18,46,100,5.84,NG,4/25/2021 14:16
idukki,9.85,76.9667,73.44,90,100,1.88,IN,4/25/2021 14:16
vestmannaeyjar,63.4427,-20.2734,44.6,93,90,9.22,IS,4/25/2021 14:16
tazovskiy,67.4667,78.7,12.56,95,38,5.93,RU,4/25/2021 14:16
isangel,-19.55,169.2667,76.98,79,100,8.5,VU,4/25/2021 14:16
bogandinskiy,56.8937,65.8938,59,26,0,11.18,RU,4/25/2021 14:16
alofi,-19.0595,-169.9187,69.8,100,93,1.14,NU,4/25/2021 14:16
jaisalmer,26.9147,70.9181,96.3,8,0,6.13,IN,4/25/2021 14:14
campbell river,50.0163,-125.2446,46,100,90,0.54,CA,4/25/2021 14:12
ambilobe,-13.2,49.05,76.78,78,99,4.88,MG,4/25/2021 14:16
kerman,30.2832,57.0788,69.8,30,40,16.11,IR,4/25/2021 14:16
yoichi,43.2039,140.7703,36,87,75,15.68,JP,4/25/2021 14:16
neuquen,-38.9516,-68.0591,57.2,67,0,5.75,AR,4/25/2021 14:16
santa rosa,14.3122,121.1114,84.2,74,20,4.61,PH,4/25/2021 14:16
kropotkin,45.4375,40.5756,49.98,78,100,11.18,RU,4/25/2021 14:16
ust-kulom,61.6864,53.6902,41.38,96,100,9.37,RU,4/25/2021 14:16
olafsvik,64.8945,-23.7142,42.8,91,94,6.58,IS,4/25/2021 14:16
rosetta,31.4044,30.4164,93.2,16,0,16.11,EG,4/25/2021 14:16
matara,5.9485,80.5353,79.43,86,37,5.93,LK,4/25/2021 14:16
kargasok,59.0556,80.8572,36.46,99,100,5.59,RU,4/25/2021 14:16
la asuncion,11.0333,-63.8628,89.6,58,64,19.57,VE,4/25/2021 14:16
coahuayana,18.7333,-103.6833,73.4,43,20,1.28,MX,4/25/2021 14:16
mecca,21.4267,39.8261,94.96,25,4,16.11,SA,4/25/2021 14:16
mareeba,-17,145.4333,75.2,94,75,9.22,AU,4/25/2021 14:16
katsuura,35.1333,140.3,57.99,32,100,1.99,JP,4/25/2021 14:16
marzuq,14.4,46.4667,83.05,40,58,19.06,YE,4/25/2021 14:16
yar-sale,66.8333,70.8333,32.54,97,100,10.2,RU,4/25/2021 14:16
lubango,-14.9172,13.4925,71.76,49,100,1.57,AO,4/25/2021 14:16
nanortalik,60.1432,-45.2371,42.06,73,100,14.74,GL,4/25/2021 14:16
new philadelphia,40.4898,-81.4457,54,82,90,5.75,US,4/25/2021 14:14
altamont,42.2068,-121.7372,37.4,81,90,5.75,US,4/25/2021 14:16
yining,29.0361,114.5636,59.92,95,100,2.15,CN,4/25/2021 14:16
gudivada,16.45,80.9833,89.6,70,5,4.61,IN,4/25/2021 14:16
vardo,70.3705,31.1107,33.8,60,20,19.57,NO,4/25/2021 14:16
kahului,20.8947,-156.47,71.6,94,20,14.97,US,4/25/2021 14:16
aklavik,68.2191,-135.0107,19.4,86,40,9.22,CA,4/25/2021 14:16
puro,12.4841,123.3827,80.01,78,8,9.64,PH,4/25/2021 14:16
kaeo,-35.1,173.7833,48,92,46,3,NZ,4/25/2021 14:16
saldanha,-33.0117,17.9442,68,73,100,9.22,ZA,4/25/2021 14:16
bhag,29.0415,67.8239,98.37,12,0,3.74,PK,4/25/2021 14:16
ola,59.5833,151.2833,17.4,72,88,9.42,RU,4/25/2021 14:16
fare,-16.7,-151.0167,80.51,66,27,4.79,PF,4/25/2021 14:16
chuy,-33.6971,-53.4616,65.17,58,2,12.46,UY,4/25/2021 14:16
upernavik,72.7868,-56.1549,34.39,80,28,6.73,GL,4/25/2021 14:16
khandyga,62.6667,135.6,11.25,95,99,4,RU,4/25/2021 14:16
los llanos de aridane,28.6585,-17.9182,69.8,64,75,5.75,ES,4/25/2021 14:16
kosikha,53.3617,84.5822,50,14,0,4.47,RU,4/25/2021 14:16
seoul,37.5683,126.9778,57.2,67,0,4.61,KR,4/25/2021 14:16
san juan,-31.5375,-68.5364,65.23,43,0,3.58,AR,4/25/2021 14:16
emerald,-23.5333,148.1667,66.2,37,0,11.5,AU,4/25/2021 14:16
sur,22.5667,59.5289,88.84,42,0,3.6,OM,4/25/2021 14:12
the valley,18.217,-63.0578,84.2,65,40,14.97,AI,4/25/2021 14:16
rio grande,-32.035,-52.0986,69.8,73,75,18.41,BR,4/25/2021 14:11
lorengau,-2.0226,147.2712,80.76,76,100,2.57,PG,4/25/2021 14:16
utete,-7.986,38.758,75.33,96,100,4,TZ,4/25/2021 14:16
santa maria,-29.6842,-53.8069,66.2,94,90,5.75,BR,4/25/2021 14:16
abalak,58.1286,68.5944,50.85,42,100,9.15,RU,4/25/2021 14:12
yangambi,0.8102,24.4336,75.36,95,100,1.83,CD,4/25/2021 14:16
guaxupe,-21.3053,-46.7128,73.4,49,0,2.75,BR,4/25/2021 14:16
gladstone,-23.85,151.25,66.2,72,22,4.61,AU,4/25/2021 14:16
esna,25.2934,32.554,102.2,10,0,3.44,EG,4/25/2021 14:16
nelson bay,-32.7167,152.15,55.99,100,18,3.44,AU,4/25/2021 14:16
pierre,44.3683,-100.351,41,65,1,24.16,US,4/25/2021 14:15
guerrero negro,27.9769,-114.0611,57.63,83,72,11.32,MX,4/25/2021 14:16
tirumullaivasal,11.2333,79.8333,84.43,71,89,12.86,IN,4/25/2021 14:16
brownwood,31.7093,-98.9912,55.4,100,1,9.22,US,4/25/2021 14:16
penzance,50.1186,-5.5371,54,66,20,32.21,GB,4/25/2021 14:16
colares,38.7992,-9.4469,68,73,20,11.5,PT,4/25/2021 14:16
blythe,33.6103,-114.5964,68,26,1,6.91,US,4/25/2021 14:16
port hardy,50.6996,-127.4199,46.4,93,90,2.3,CA,4/25/2021 14:16
stolbishche,55.6468,49.216,44.6,53,40,20.13,RU,4/25/2021 14:16
aksu,41.1231,80.2644,66.43,18,8,8.28,CN,4/25/2021 14:16
havelock,34.8791,-76.9013,66.99,82,98,3,US,4/25/2021 14:16
acapulco,16.8634,-99.8901,78.8,65,75,1.72,MX,4/25/2021 14:12
camacha,33.0833,-16.3333,64.4,77,40,17.27,PT,4/25/2021 14:16
puerto ayacucho,5.6639,-67.6236,82.6,69,98,1.21,VE,4/25/2021 14:16
alyangula,-13.8483,136.4192,77,100,75,6.91,AU,4/25/2021 14:16
lukovetskiy,64.2956,41.9211,48.2,87,40,8.72,RU,4/25/2021 14:16
rapid valley,44.0625,-103.1463,45,75,1,18.41,US,4/25/2021 14:16
nizhnevartovsk,60.9344,76.5531,50,46,0,4.47,RU,4/25/2021 14:16
sisimiut,66.9395,-53.6735,40.89,60,85,3.49,GL,4/25/2021 14:16
port blair,11.6667,92.75,83.71,69,90,3.65,IN,4/25/2021 14:16
tautira,-17.7333,-149.15,75.2,83,75,3.44,PF,4/25/2021 14:16
athabasca,54.7169,-113.2854,30.2,68,15,3.44,CA,4/25/2021 14:16
